,function,size,pvalue,statistic,rejected
276,map_id_up,56,7.546628173416764e-59,73.51737725168907,True
235,lookup_bh_lru,56,7.21896351691035e-50,52.38439769637764,True
1457,record_times,56,3.459186782490141e-49,51.04764619229424,True
285,kick_process,56,1.113655028252212e-46,46.396404668060185,True
320,locks_remove_file,56,1.1668614157533842e-45,44.62141812676973,True
311,kmalloc_slab,56,2.7734221850271665e-44,42.32849056666311,True
284,kfree,56,5.947823023995563e-44,41.793069976699925,True
249,kthread_blkcg,56,2.5517320322599406e-43,40.78852231764361,True
208,kmem_cache_alloc,56,7.888568021142146e-43,40.02549595639487,True
258,locks_remove_posix,56,1.6538182835831027e-42,39.53224835970893,True
1230,native_send_call_func_ipi,56,2.1925742886108024e-41,-37.85376635070552,True
269,ktime_get_coarse_real_ts64,56,2.731213952066777e-41,37.71417628187901,True
310,make_vfsuid,56,2.9343136813680514e-41,37.668699257070166,True
1182,native_flush_tlb_local,56,5.892756242707447e-41,-37.22923773254951,True
227,mem_cgroup_from_task,56,1.1482149842571495e-40,36.8131979744396,True
296,lock_vma_under_rcu,56,1.3095897401868415e-39,35.330815408973244,True
220,legitimize_links,56,1.1405943704693056e-37,32.75012026579875,True
246,kmem_cache_free,56,1.8410150584930677e-37,32.48381485158292,True
1343,free_percpu.part.0,56,2.2722875424427104e-36,-31.117273384091934,True
1164,blk_cgroup_congested,56,6.221742348822535e-36,30.583970324266474,True
261,map_id_range_down,56,6.839642123600301e-36,30.53425397563307,True
157,should_failslab,56,2.0667671212900472e-35,29.95883460981144,True
218,memcg_list_lru_alloc,56,4.19872256243792e-35,29.595015989057114,True
790,exit_to_user_mode_prepare,56,4.2748215446621937e-35,29.585846442553656,True
461,dentry_free,56,2.10694521356946e-34,28.78132782242489,True
256,kmem_cache_alloc_node,56,2.2871384967007295e-33,27.613753461767633,True
144,shrink_lock_dentry,56,5.3686749297771274e-33,27.205922559908036,True
217,lru_add_fn,56,9.956199976778677e-33,26.913927733596235,True
423,vm_normal_page,56,4.5579057030842743e-32,26.205963840892615,True
231,kmalloc_trace,56,5.350458793342566e-31,25.092780110136232,True
264,kill_fasync,56,8.326044281368982e-30,23.898347295980656,True
302,memcg_check_events,56,8.755097138228302e-30,23.876920443558795,True
736,psi_group_change,56,1.8052698373840256e-29,23.570046760494343,True
262,ldsem_down_read_trylock,56,2.4202145946194836e-29,23.44664134924008,True
682,pcpu_chunk_relocate,56,4.8316785779764165e-28,-22.21545344593147,True
307,kmalloc_node_trace,56,1.1063329648066338e-27,21.88391584917802,True
667,pcpu_block_update,56,1.1778304025745949e-27,-21.859011549895456,True
738,enqueue_hrtimer,56,1.6715832435957712e-27,21.720186839547353,True
237,mem_cgroup_handle_over_high,56,3.772843756861026e-27,21.400013321730935,True
1234,mod_objcg_state,56,5.40042282315167e-27,21.260109123036177,True
1056,up_write,56,2.8416559009068215e-26,20.621402804008742,True
487,do_wp_page,56,6.330196247488455e-26,-20.318534187326637,True
214,make_vfsgid,56,7.655076885949027e-26,20.247162657492048,True
1223,native_send_call_func_single_ipi,56,8.40041623724812e-26,20.212335913980276,True
292,match_exception_partial,56,4.0463948179269526e-25,19.629714264244413,True
411,vmalloc_to_page,56,1.547026625435741e-24,-19.142464254543373,True
319,ksys_write,56,2.6915686869969406e-24,18.943817133670183,True
243,migrate_disable,56,1.5378473574068964e-23,18.328159477610004,True
234,locks_free_lock_context,56,1.7401264207039364e-23,18.285045717647954,True
297,mem_cgroup_from_slab_obj,56,3.0152211611490113e-23,18.094105171353768,True
151,should_fail_alloc_page,56,1.27498144923724e-22,17.599779998492647,True
1038,update_rq_clock,56,1.4873316642348507e-22,17.54751149045971,True
233,mlock_drain_local,56,3.0393089209870525e-22,17.30639620451148,True
1085,update_dl_rq_load_avg,56,7.157261786455444e-22,17.020327456916505,True
299,ldsem_up_read,56,6.216056656783017e-21,16.312050546288475,True
1001,update_rt_rq_load_avg,56,8.698209101180324e-21,16.203677054635243,True
868,exit_to_user_mode_loop,56,3.1916228380425615e-20,15.788570522472842,True
657,pipe_read,56,1.1451556253335755e-19,15.386994025089958,True
536,destroy_context_ldt,56,1.4352420607233596e-19,-15.316664386032521,True
277,ldsem_down_read,56,2.066081848954252e-19,15.203586603276069,True
451,destroy_inode,56,3.953721860859076e-19,15.003359983302893,True
459,dl_task_check_affinity,56,4.348934262470085e-19,14.974096109127244,True
650,pty_unix98_remove,56,5.793721029500533e-19,14.886188143100192,True
1008,update_group_capacity,56,1.7436665065135675e-18,14.551251765548722,True
725,ptep_clear_flush,56,2.7751192049783818e-18,-14.41126275119612,True
672,put_prev_entity,56,3.11641346639939e-18,14.376438022331318,True
335,task_h_load,56,3.410223445403716e-18,14.34941961953195,True
628,cpuacct_account_field,56,3.863593552334585e-18,14.312033504204805,True
422,xfd_validate_state,56,7.630947247375016e-18,14.1091049180919,True
1322,filemap_get_entry,56,1.0668898533742718e-17,14.009757674210416,True
1276,free_pid,56,1.8844047337219064e-17,13.841965668443219,True
140,set_task_rq_fair,56,1.1121635656080821e-16,13.325016645128311,True
907,generic_smp_call_function_single_interrupt,56,1.584691538349338e-16,-13.223088299483178,True
588,cpuset_cpus_allowed,56,2.20593535275902e-16,13.12821781730687,True
282,migrate_task_rq_fair,56,2.233281698767262e-16,13.402127316287482,True
38,insert_vmap_area.constprop.0,56,8.017760146205731e-16,12.761182917877527,True
1091,update_min_vruntime,56,8.223686119975462e-16,12.754019139677476,True
1430,raw_spin_rq_unlock,56,2.0259930463215245e-15,12.500508044927697,True
621,check_cpu_stall,56,2.497924282527521e-15,12.441957252271102,True
317,lru_add_drain_cpu,56,4.807597457537876e-15,12.259661322997923,True
1190,obj_cgroup_uncharge_pages,56,1.1037398643525163e-14,-12.029921803260098,True
715,page_remove_rmap,56,1.2434334831900588e-14,11.997127767260798,True
278,lapic_next_event,56,1.3346535567263145e-14,11.977663623789976,True
812,drain_stock,56,1.7029176662445066e-14,-11.910768412597545,True
666,pgd_free,56,2.7478505333836713e-14,-11.779852418100907,True
671,pick_next_task_fair,56,6.893406525458663e-14,11.529800387186427,True
1375,restore_fpregs_from_fpstate,56,7.499542668882718e-14,11.506991019742143,True
251,ktime_get,56,8.038529462348231e-14,11.488219654523157,True
213,ktime_get_update_offsets_now,56,8.49298390269724e-14,11.47335381835567,True
347,task_work_run,56,9.165581172431994e-14,11.452763588876188,True
91,irq_enter_rcu,56,2.469934166104786e-13,11.18618447110813,True
583,clockevents_program_event,56,4.075062998412321e-13,11.05239167006593,True
97,iput,56,4.198001855915313e-13,11.044466889429845,True
579,cpuacct_charge,56,4.855748015014479e-13,11.00568623242921,True
541,calc_global_load_tick,56,5.266338298098357e-13,10.984079297125664,True
509,do_set_pte,56,5.809431346864189e-13,10.95797286517756,True
1015,up_read,56,6.455432886414096e-13,10.929949977785222,True
1014,update_sd_pick_busiest,56,1.4481851613459362e-12,10.715994072999258,True
1040,uncharge_batch,56,1.726518623235348e-12,10.669621700408221,True
1432,raw_spin_rq_lock_nested,56,3.991834292842187e-12,10.4493811537393,True
695,pids_release,56,4.3670992566800015e-12,10.42585302807568,True
225,kmem_cache_free_bulk.part.0,56,6.362924130525491e-12,10.32745632315587,True
1062,update_cfs_group,56,1.168061352039692e-11,10.169210457785898,True
699,psi_flags_change,56,1.422455325762015e-11,10.118022216208418,True
679,pick_next_task_idle,56,5.752442797672226e-11,9.756933424242257,True
768,eventfd_read,56,8.508480235877538e-11,9.656338012225765,True
279,lock_sock_nested,56,8.619284688669988e-11,9.653016888953802,True
991,uevent_show,56,1.019581983949633e-10,9.609923620720906,True
1416,refill_stock,56,2.0263247746129133e-10,-9.434148422316795,True
247,mark_page_accessed,56,2.0298051533476767e-10,9.433710067839426,True
223,mb_clear_bits,56,2.6223662132735094e-10,9.368328744789371,True
1429,refill_obj_stock,56,5.727250388892179e-10,9.169463182747297,True
1184,native_flush_tlb_one_user,56,6.347002285629473e-10,9.143363007674079,True
175,smp_call_function_many_cond,56,9.885585258951818e-10,-9.030949500488646,True
1203,need_active_balance,56,1.7252331609660498e-09,9.166075998538707,True
1352,folio_test_hugetlb,56,2.702045569882957e-09,8.7766484564614,True
626,check_preempt_curr,56,2.9509653806869717e-09,8.754410243155185,True
300,kmem_cache_alloc_bulk,56,4.138739060876571e-09,8.669116262806213,True
814,dput,56,4.276679064165189e-09,8.660854640336838,True
737,pick_next_entity,56,4.555984187095288e-09,8.644915249742622,True
288,mnt_drop_write,56,7.491105003872479e-09,8.51974480173915,True
797,ext4_release_file,56,1.1986185680556574e-08,8.401605572774383,True
1473,run_posix_cpu_timers,56,1.4165596732336834e-08,8.359653658038605,True
595,cap_task_setscheduler,56,1.6255721196196525e-08,8.325106416738507,True
1408,remove_entity_load_avg,56,4.032097173707276e-08,8.124875875808893,True
188,setup_object,56,6.669567646137797e-08,-7.9713276053508215,True
519,decay_load,56,8.711932406175475e-08,7.904471603009441,True
63,irq_exit_rcu,56,1.0744402054715012e-07,7.852005973647889,True
694,pmd_huge,56,1.969795151662399e-07,7.700394191858459,True
255,load_balance,56,2.1846548046281558e-07,7.674502474523564,True
1453,reweight_entity,56,2.2378979594367768e-07,7.668480506352235,True
1378,raise_softirq,56,2.481954288034083e-07,7.6425940332289946,True
312,kthread_is_per_cpu,56,2.513755143881181e-07,7.639410058321854,True
1337,find_busiest_queue,56,3.258117828837156e-07,7.820397393232243,True
166,set_next_entity,56,4.022243070331203e-07,7.521849503669315,True
1370,queued_read_lock_slowpath,56,4.799953298588902e-07,7.5727850325022334,True
1327,free_pcppages_bulk,56,1.1409714979957e-06,-7.260960237372135,True
199,signalfd_cleanup,56,1.3573109686328207e-06,7.217480933764222,True
730,prep_compound_page,56,1.8367931506220795e-06,-7.141691046182113,True
1177,bit_waitqueue,56,3.077182076763466e-06,7.012297593261372,True
240,lookup_dcache,56,3.5804516080433957e-06,6.974278889503729,True
1123,available_idle_cpu,56,3.7928814230526784e-06,6.959808006955012,True
927,idle_cpu,56,7.346184179093581e-06,6.793635856230989,True
718,pty_flush_buffer,56,9.333507637605309e-06,6.733345872986019,True
454,do_unlinkat,56,1.4550556466634646e-05,6.621368884822632,True
1314,flush_tlb_func,56,1.522282652842681e-05,-6.6099648533780915,True
481,deactivate_super,56,1.7519164698231828e-05,6.574473694701595,True
866,eventfd_release,56,1.7954240747459397e-05,6.568274324270623,True
301,meminfo_proc_show,56,2.5585887621854842e-05,-6.478665024204625,True
644,policy_nodemask,56,3.8475006874786764e-05,6.375223691393003,True
1048,tlb_is_not_lazy,56,3.934812761695245e-05,-6.369526298540875,True
1269,find_busiest_group,56,5.172155717967368e-05,6.300033980769747,True
1414,search_exception_tables,56,6.0028759471351356e-05,6.290861207581145,True
759,drain_obj_stock,56,0.00014376263727091743,-6.078821222453639,True
955,hrtimer_forward,56,0.00015159907574663993,6.025325532085405,True
857,exit_files,56,0.00017674969204598185,5.99842191798371,True
1023,unmap_page_range,56,0.00022191015630564946,5.927372680934412,True
733,profile_tick,56,0.00030531738210545794,5.8450631340619505,True
280,membarrier_update_current_mm,56,0.00033784727684292094,5.818889519581588,True
1235,newidle_balance,56,0.00034763066356541597,5.811504348356759,True
1225,native_queued_spin_lock_slowpath,56,0.000353964195691345,5.8068322005158475,True
1342,finish_task_switch.isra.0,56,0.0003580712223586237,5.803846501815983,True
590,check_spread.isra.0,56,0.00036273648021231057,5.800495801043305,True
1105,alloc_pages,56,0.0003735851005375812,5.792866007099615,True
589,check_cfs_rq_runtime,56,0.00040605641112280867,5.771273569192341,True
1179,apparmor_inode_free_security,56,0.0004681015419033207,5.734388918836136,True
1333,fpstate_free,56,0.0005469739614482288,-5.752907486572103,True
982,get_mem_cgroup_from_mm,56,0.0006692787767017925,-5.641378225979844,True
1460,rw_verify_area,56,0.0012321700591564858,5.48162331847575,True
810,enqueue_entity,56,0.0012804147940907154,5.4715262622174174,True
1021,update_curr,56,0.0014687571039803651,5.43540371799907,True
1078,try_charge_memcg,56,0.0014976849005807146,5.430264087891534,True
309,mem_cgroup_css_from_folio,56,0.0016846091208492094,5.399240089329251,True
1227,mutex_is_locked,56,0.0017671688089226348,5.386604089275257,True
594,clear_buddies,56,0.0018991716007618431,5.367561369100336,True
659,pipe_poll,56,0.0020261509665690275,5.350435623505156,True
1437,release_pages,56,0.0021799957095138115,5.33104949318001,True
1134,anon_pipe_buf_release,56,0.002646482052314108,5.279577244359257,True
103,inode_permission,56,0.0035532777482665434,5.2010561897688055,True
1129,alloc_tty_struct,56,0.003579815860432857,5.199068198042808,True
507,dequeue_entity,56,0.0036512722945779177,5.193786508231048,True
925,igrab,56,0.003910359387916239,-5.175452817657665,True
504,cpuset_node_allowed,56,0.0039889364344820365,-5.170128028743161,True
712,pty_write_room,56,0.004253705791807678,5.152915307467003,True
972,hrtimer_update_next_event,56,0.004275755300707251,5.1515296976907665,True
1096,apparmor_file_free_security,56,0.004287321569241736,5.150805667998756,True
257,mem_cgroup_update_tree,56,0.004545259961062724,5.135138923675651,True
560,cpus_share_cache,56,0.0045775645910132124,5.133238649762483,True
698,p4d_clear_huge,56,0.005107859664554275,5.103796718349587,True
490,do_read_fault,56,0.0069751364648392355,-5.0197845807817805,True
1389,select_idle_core,56,0.007032590039243458,5.033415044064033,True
470,do_filp_open,56,0.008166190199246302,4.977085467202205,True
130,si_meminfo,56,0.008196085166490393,-4.976094193149018,True
173,sock_do_ioctl,56,0.0088528833788864,-4.955165796503612,True
1372,save_fpregs_to_fpstate,56,0.011040394966947302,4.8950346660708135,True
124,shrink_dcache_parent,56,0.01255854961818835,4.859822377918792,True
488,dentry_unlink_inode,56,0.013874936863017535,4.832512698656019,True
603,clear_inode,56,0.014193690747385426,-4.826281727485668,True
573,cap_capable,56,0.014416906619695068,4.821999288596707,True
473,detach_pid,56,0.016308310560510315,4.788115872945696,True
646,pud_huge,56,0.017095149890552244,4.775139689261017,True
209,mm_release,56,0.017335873827513913,4.771286262553022,True
408,vm_area_alloc,56,0.02202039500948254,-4.705179472913984,True
404,vm_area_dup,56,0.022514210369940123,-4.6990314227250405,True
898,futex_q_unlock,56,0.025608273148207777,-4.669649635935278,True
1403,rebalance_domains,56,0.027158817756037897,4.646906981402616,True
1349,fpregs_assert_state_consistent,56,0.03421759627773704,-4.582366944407071,True
645,place_entity,56,0.03945994411652998,4.54235770885348,True
1231,nohz_balance_exit_idle,56,0.04036097467054306,4.536007204264792,True
230,mm_update_next_owner,56,0.042395416099582285,4.522161710065723,True
1307,free_tail_page_prepare,56,0.04295632558291348,-4.596517143809302,True
283,mm_put_huge_zero_page,56,0.043223949229063766,4.516707615062292,True
572,call_function_single_prep_ipi,56,0.04522342739569341,4.5039534870951705,True
