,function,size,pvalue,statistic
1072,get_cached_acl_rcu,56,2.015611032493986e-27,117.43682846103262
1147,folio_add_lru,56,2.2830082028192514e-27,116.62588831858838
984,hook_file_alloc_security,56,6.173535975526773e-27,110.34726817451504
1034,filemap_map_pmd,56,4.850999741464288e-26,98.38850083296155
1169,filemap_map_pages,56,5.409059234605913e-26,97.7940484165106
1110,folio_add_new_anon_rmap,56,7.890650236326929e-26,95.76022884934552
1083,from_vfsuid,56,1.3827765796350245e-25,92.81616493459153
1384,prepend_copy,56,2.6130573472613077e-25,89.58527945099179
1160,folio_unlock,56,2.763391982732878e-25,89.30671741631843
398,read_pages,56,9.255517328344326e-25,83.49353649449523
669,do_filp_open,56,1.1099847003704385e-24,82.65283517355039
798,devcgroup_check_permission,56,1.1998858199952056e-24,82.29510060139071
400,sigaction_compat_abi,56,1.685844863494601e-24,80.75111999294724
556,security_inode_permission,56,2.8331538094044908e-24,78.44939581722505
925,flush_busy_ctx,56,3.288724278753798e-24,77.80041192812209
1392,path_init,56,3.828864278921755e-24,77.1440465844417
1148,filemap_get_entry,56,9.6213377872616e-24,73.2830836794922
966,find_get_entries,56,3.5270851455611127e-23,68.1636760444998
226,consume_stock,56,3.7047991562366154e-23,91.08266138313977
474,seq_printf,56,6.137092432225606e-23,-66.09042918763114
520,set_cached_acl,56,7.50545646128899e-23,65.35261809946542
1005,futex_setup_timer,56,1.350476225412308e-22,63.24578514904793
112,blk_mq_flush_plug_list,56,1.6611535631834182e-22,82.91369842484154
432,set_nlink,56,1.8092621377528612e-22,62.222086088085604
1058,free_unref_page_list,56,2.1820956772518987e-22,61.574899481045605
328,shmem_get_partial_folio,56,2.5425884860352936e-22,61.05172207760539
1224,page_cache_ra_order,56,2.724746977390031e-22,60.81641017441873
998,inc_nlink,56,3.123807889922216e-22,60.354234691735485
833,detach_pid,56,7.006297969602814e-22,57.69297050876693
1038,find_lock_entries,56,1.0178220340456214e-21,56.502213730625805
153,apparmor_file_free_security,56,1.153746358421364e-21,73.43263929518714
561,search_exception_tables,56,1.371982279784401e-21,55.56764306176824
678,ep_item_poll.isra.0,56,1.3786882757383585e-21,55.55250938719817
914,find_vma,56,1.622213392490243e-21,55.04998342211422
795,exit_task_stack_account,56,2.0838977281135195e-21,54.28501145192548
609,current_umask,56,3.372731608770251e-21,52.84376229967614
973,futex_wake_mark,56,3.698871366500713e-21,52.57181194035748
276,blk_cgroup_congested,56,3.910167441436539e-21,68.02342872928851
974,find_unlink_vmap_area,56,4.0076177055147324e-21,52.336737512336605
161,atime_needs_update,56,5.600566279585357e-21,66.50796525649555
1087,hook_file_open,56,6.812122302939031e-21,50.8071180782946
832,dec_rlimit_ucounts,56,6.857875838577159e-21,50.788101769932055
408,put_unused_fd,56,6.896781024206801e-21,50.77203682428986
45,copy_from_kernel_nofault_allowed,56,6.945043876614086e-21,65.61652865772633
1128,from_kuid,56,6.997561418253174e-21,50.73086269625372
94,apparmor_capable,56,7.046102398229574e-21,65.55710267198393
51,anon_vma_fork,56,7.147913504923233e-21,65.49814271870028
1124,guard_bio_eod,56,8.723599890096043e-21,50.10915578641491
1094,from_kgid_munged,56,1.0694390397743047e-20,49.54145797396803
239,apparmor_inode_free_security,56,2.5454521964074034e-20,60.48159931851199
1248,nsec_to_clock_t,56,2.9768536672640094e-20,46.78282364777676
1088,filemap_free_folio,56,3.4943598361559166e-20,46.3648356315378
195,apparmor_mmap_file,56,3.8950961910816014e-20,58.88805402351732
1143,ima_file_free,56,4.4168607156402395e-20,45.76048545794655
100,anon_vma_name,56,4.769550274897735e-20,58.14407870593279
202,cgroup_css_set_fork,56,5.080456127582573e-20,57.9140215885754
980,generic_write_check_limits,56,6.069857344794224e-20,44.95278653290278
1032,generic_file_llseek_size,56,6.460149756398664e-20,44.796109130589514
978,hook_cred_prepare,56,6.588200126204087e-20,44.74687277641277
1102,free_unref_page_prepare,56,7.122332081138898e-20,44.55184612318898
262,apparmor_d_instantiate,56,8.91510348455553e-20,55.90472366160546
138,bit_waitqueue,56,9.813794287936938e-20,55.56853118190596
1428,proc_readfd_common,56,1.1290532290544276e-19,43.416141985637516
618,dentry_unlink_inode,56,1.2014792018645264e-19,43.26507654357979
76,cgroup_release,56,1.4178098435851549e-19,54.29909593695983
405,shmem_reserve_inode,56,1.7617562085157117e-19,42.3463847378916
130,apparmor_file_alloc_security,56,1.8098888627213327e-19,53.47256247607668
1192,fsnotify,56,2.0947692887067532e-19,41.93714782575663
481,setfl,56,2.3613651867973116e-19,41.65625510594067
1189,get_mm_exe_file,56,2.508329274648868e-19,41.51538625920813
82,blk_add_timer,56,2.6921004554548435e-19,52.15490410479573
521,sched_core_fork,56,2.754430804606883e-19,41.29793977203275
1370,mpol_put_task_policy,56,3.0800490126660305e-19,41.039808379866834
583,exit_shm,56,3.202725271463836e-19,40.9499526591902
187,apparmor_task_alloc,56,3.3288080554590016e-19,51.46362516640623
695,deactivate_super,56,3.9223445986505774e-19,40.486725383368196
601,exit_files,56,3.942343452949357e-19,40.475168549473906
1634,ksys_lseek,56,4.095034289966635e-19,68.76722317885911
1056,get_page_from_freelist,56,4.105182240874598e-19,40.383308793764535
696,ext4_ioctl,56,4.553052353419253e-19,-40.14922985915596
1234,put_device,56,4.7050033202419e-19,40.0752955327263
895,get_mem_cgroup_from_mm,56,4.905284518241002e-19,39.98160390715869
1292,policy_node,56,5.019454934353206e-19,39.92998420034456
823,do_statfs_native,56,5.649881242893915e-19,39.665573382198644
988,folio_lruvec_lock_irqsave,56,5.770180908261924e-19,39.6186678479383
498,shmem_xattr_handler_get,56,6.265400117766762e-19,39.43587709505447
1003,flush_sigqueue_mask,56,6.3609210227046775e-19,39.40237707379236
965,full_name_hash,56,7.401546671689624e-19,39.06844646574153
620,delayacct_add_tsk,56,7.78437287840272e-19,38.95791887769303
681,do_fcntl,56,7.889090748288028e-19,38.92868278492576
834,exit_tasks_rcu_finish,56,8.194263318694638e-19,38.84576149746614
899,from_kuid_munged,56,8.71010960816624e-19,38.712740427074365
49,clear_inode,56,8.918504998073657e-19,48.37129751493017
1107,fd_install,56,9.321456122209018e-19,38.56545907630335
697,exit_signals,56,9.79364275788562e-19,38.4585155712017
1157,freezer_fork,56,1.0177704521181441e-18,38.37546776279297
1498,inode_set_flags,56,1.047125880823671e-18,64.29402256912923
217,bvec_try_merge_page,56,1.1278299615630473e-18,47.662192071301114
89,acct_update_integrals,56,1.1303806736657442e-18,47.65541832269057
68,cap_vm_enough_memory,56,1.1402966075919423e-18,47.62923862247978
1485,kmalloc_trace,56,1.3922169867661474e-18,62.994941788795664
157,cgroup_get_e_css,56,1.6062048806364721e-18,46.6134686549372
128,anon_vma_interval_tree_remove,56,1.7670208353891033e-18,46.33436986278122
1117,find_vm_area,56,1.7967057485405304e-18,37.168645713807514
240,calculate_sigpending,56,1.9588996919169297e-18,46.03469678227614
593,exit_itimers,56,2.0355329002908506e-18,36.90864054140072
1611,insert_pfn,56,2.0456732159992828e-18,61.28120343068426
1469,pud_huge,56,2.1132018461451603e-18,36.83097355240527
175,copy_sighand,56,2.1287492975235643e-18,45.79437062205777
1018,getname_kernel,56,2.2351265730110797e-18,36.71492942976707
238,copy_pte_range,56,2.2817265353670546e-18,45.59474330210456
575,do_sigaction,56,2.5918442378075245e-18,36.410314213280934
109,cgroup_css_set_put_fork,56,2.9239762679222496e-18,44.88830415676337
1430,mntput_no_expire,56,3.0572679654040005e-18,36.07346668991297
1037,filename_create,56,3.603176738691463e-18,35.74138154399613
842,exit_task_namespaces,56,3.608780696154845e-18,35.73825457656005
1354,pagecache_get_page,56,3.8688666280549045e-18,35.59850124102298
1106,free_unref_page_commit,56,3.923352028259567e-18,35.57048136428439
378,shmem_destroy_inode,56,4.100546406343891e-18,35.48211576716353
1495,lookup_dcache,56,4.388656882711943e-18,58.01784731568986
1040,generic_fillattr,56,4.403001312737865e-18,35.34020366664943
670,ext4_statfs,56,4.448081724234634e-18,35.319936053233796
879,dup_fd,56,4.532943667161701e-18,35.2823643128608
174,cgroup_fork,56,5.5550308254080946e-18,43.10996325954212
1675,memcg_check_events,56,5.680183605970982e-18,56.95444648689694
1508,internal_get_user_pages_fast,56,5.785478963076978e-18,56.87947063182446
814,exit_sem,56,6.295598612011638e-18,34.63550099317379
767,expand_files,56,6.6507731321147006e-18,34.528553156350604
182,bio_add_page,56,6.978889047487772e-18,42.49451179615363
1241,privileged_wrt_inode_uidgid,56,6.992861774356163e-18,34.4310946331263
1266,page_add_new_anon_rmap,56,7.768383366908196e-18,34.22760380756596
1168,follow_page_mask,56,8.023014268372656e-18,34.165435686416345
389,security_inode_mkdir,56,8.090466468527633e-18,34.14931565523951
1387,nd_jump_root,56,8.798529442091536e-18,33.988183258427966
78,blkcg_set_ioprio,56,1.0021217776706307e-17,41.536309646340236
185,common_perm_cond,56,1.0100529500518885e-17,41.51567051682716
1139,free_ldt_pgtables,56,1.0402100406950239e-17,33.66883844172426
1029,handle_dots,56,1.0414780797242426e-17,33.6665253873645
640,exit_tasks_rcu_start,56,1.0812351458629956e-17,33.595472277804475
462,recalc_sigpending,56,1.0921203374670145e-17,33.5764984903499
172,copy_page_range,56,1.3578518647108808e-17,40.748213826355446
783,exit_rcu,56,1.4001648490319946e-17,33.10917264741971
500,should_fail_alloc_page,56,1.4279614182372634e-17,33.07247010833266
782,exit_fs,56,1.480478523179275e-17,33.005139071804415
